Equipment,Operation,WO Type,Model Base,Problem Code,Failure Code,Cause Code,Action Code,Date,downtimeGross,pitHours,realDowntime,partsCost,repairHours,waitingHours
1010942,HEM SLEEVE,Corrective Maintenance,VC2700,SEWP002,SEWF001,SEWC018,SEWA015,03/11/2024,5.92,0,5.92,$0.00,0.67,5.25
1010942,HEM SLEEVE,Corrective Maintenance,VC2700,SEWP002,SEWF001,SEWC026,SEWA024,03/04/2024,1.00,1,0.00,$0.00,1.00,0.00
1010942,HEM SLEEVE,Corrective Maintenance,VC2700,SEWP002,SEWF001,SEWC026,SEWA024,04/15/2024,1.00,0,1.00,$0.00,0.75,0.25
1010942,HEM SLEEVE,Corrective Maintenance,VC2700,SEWP002,SEWF001,SEWC027,SEWA025,04/16/2024,6.17,0,6.17,$36.17,6.00,0.17
1010942,HEM SLEEVE,Corrective Maintenance,VC2700,SEWP002,SEWF001,SEWC083,SEWA082,04/12/2024,1.33,1,0.33,$45.00,1.25,0.08
1010942,HEM SLEEVE,Corrective Maintenance,VC2700,SEWP002,SEWF001,SEWC262,SEWA236,04/05/2024,0.83,0,0.83,$0.00,0.75,0.08
1010942,HEM SLEEVE,Corrective Maintenance,VC2700,SEWP002,SEWF005,SEWC061,SEWA059,03/07/2024,0.50,0.25,0.25,$0.00,0.25,0.25
1010942,HEM SLEEVE,Corrective Maintenance,VC2700,SEWP002,SEWF008,SEWC081,SEWA079,05/15/2024,0.50,0,0.50,$50.00,0.50,0.00
1010942,HEM SLEEVE,Corrective Maintenance,VC2700,SEWP002,SEWF008,SEWC081,SEWA083,04/01/2024,0.67,0,0.67,$0.00,0.50,0.17
1010942,HEM SLEEVE,Corrective Maintenance,VC2700,SEWP002,SEWF008,SEWC082,SEWA083,01/04/2024,0.50,0,0.50,$0.00,0.50,0.00
1010942,HEM SLEEVE,Corrective Maintenance,VC2700,SEWP002,SEWF008,SEWC082,SEWA083,01/18/2024,4.42,0,4.42,$0.00,0.67,3.75
1010942,HEM SLEEVE,Corrective Maintenance,VC2700,SEWP002,SEWF008,SEWC082,SEWA083,01/24/2024,1.17,0,1.17,$99.25,1.17,0.00
1010942,HEM SLEEVE,Corrective Maintenance,VC2700,SEWP002,SEWF008,SEWC082,SEWA083,04/02/2024,2.75,1.92,0.83,$0.00,0.83,1.92
1010942,HEM SLEEVE,Corrective Maintenance,VC2700,SEWP002,SEWF008,SEWC082,SEWA083,04/02/2024,0.33,0.25,0.08,$0.00,0.25,0.08
1010942,HEM SLEEVE,Corrective Maintenance,VC2700,SEWP002,SEWF008,SEWC082,SEWA083,04/04/2024,1.00,0.83,0.17,$0.00,0.83,0.17
1010942,HEM SLEEVE,Corrective Maintenance,VC2700,SEWP002,SEWF008,SEWC082,SEWA083,05/29/2024,1.17,0,1.17,$0.00,1.00,0.17
1010942,HEM SLEEVE,Corrective Maintenance,VC2700,SEWP002,SEWF008,SEWC083,SEWA082,01/29/2024,1.92,0,1.92,$0.00,0.50,1.42
1010942,HEM SLEEVE,Corrective Maintenance,VC2700,SEWP002,SEWF008,SEWC083,SEWA082,04/11/2024,1.00,0.67,0.33,$0.00,0.33,0.67
1010942,HEM SLEEVE,Corrective Maintenance,VC2700,SEWP002,SEWF009,SEWC012,SEWA011,01/05/2024,3.58,0,3.58,$0.00,1.00,2.58
1010942,HEM SLEEVE,Corrective Maintenance,VC2700,SEWP002,SEWF009,SEWC012,SEWA011,01/15/2024,0.67,0,0.67,$0.00,0.67,0.00
1010942,HEM SLEEVE,Corrective Maintenance,VC2700,SEWP002,SEWF009,SEWC012,SEWA011,04/25/2024,2.42,0,2.42,$20.00,2.00,0.42
1010942,HEM SLEEVE,Corrective Maintenance,VC2700,SEWP002,SEWF009,SEWC013,SEWA003,01/02/2024,1.25,0,1.25,$0.00,0.50,0.75
1010942,HEM SLEEVE,Corrective Maintenance,VC2700,SEWP002,SEWF009,SEWC013,SEWA003,01/02/2024,1.25,0,1.25,$0.00,1.00,0.25
1010942,HEM SLEEVE,Corrective Maintenance,VC2700,SEWP002,SEWF009,SEWC013,SEWA003,01/03/2024,0.50,0,0.50,$0.00,0.50,0.00
1010942,HEM SLEEVE,Corrective Maintenance,VC2700,SEWP002,SEWF009,SEWC013,SEWA003,01/04/2024,6.00,0,6.00,$20.00,5.00,1.00
1010942,HEM SLEEVE,Corrective Maintenance,VC2700,SEWP002,SEWF009,SEWC013,SEWA003,02/06/2024,5.17,0,5.17,$42.48,2.00,3.17
1010942,HEM SLEEVE,Corrective Maintenance,VC2700,SEWP002,SEWF009,SEWC013,SEWA003,03/01/2024,2.75,0,2.75,$20.00,0.67,2.08
1010942,HEM SLEEVE,Corrective Maintenance,VC2700,SEWP002,SEWF009,SEWC013,SEWA012,02/02/2024,2.75,0,2.75,$0.00,0.50,2.25
1010942,HEM SLEEVE,Corrective Maintenance,VC2700,SEWP002,SEWF009,SEWC013,SEWA012,03/19/2024,7.17,0,7.17,$20.00,7.17,0.00
1010942,HEM SLEEVE,Corrective Maintenance,VC2700,SEWP002,SEWF009,SEWC017,SEWA013,05/03/2024,1.33,0,1.33,$0.00,1.00,0.33
1010942,HEM SLEEVE,Corrective Maintenance,VC2700,SEWP002,SEWF009,SEWC084,SEWA082,01/22/2024,0.67,0,0.67,$0.00,0.67,0.00
1010942,HEM SLEEVE,Corrective Maintenance,VC2700,SEWP002,SEWF009,SEWC084,SEWA082,03/07/2024,0.33,0,0.33,$0.00,0.33,0.00
1010942,HEM SLEEVE,Corrective Maintenance,VC2700,SEWP002,SEWF009,SEWC084,SEWA082,03/20/2024,3.42,0,3.42,$0.00,3.33,0.08
1010942,HEM SLEEVE,Corrective Maintenance,VC2700,SEWP002,SEWF009,SEWC084,SEWA082,04/15/2024,0.92,0,0.92,$0.00,0.92,0.00
1010942,HEM SLEEVE,Corrective Maintenance,VC2700,SEWP002,SEWF009,SEWC084,SEWA082,05/07/2024,0.25,0,0.25,$16.75,0.25,0.00
1010942,HEM SLEEVE,Corrective Maintenance,VC2700,SEWP002,SEWF009,SEWC087,SEWA085,04/01/2024,1.00,0,1.00,$0.00,0.75,0.25
1010942,HEM SLEEVE,Corrective Maintenance,VC2700,SEWP002,SEWF009,SEWC088,SEWA087,03/08/2024,0.33,0,0.33,$0.00,0.33,0.00
1010942,HEM SLEEVE,Corrective Maintenance,VC2700,SEWP002,SEWF009,SEWC088,SEWA087,03/11/2024,0.58,0,0.58,$0.00,0.58,0.00
1010942,HEM SLEEVE,Corrective Maintenance,VC2700,SEWP002,SEWF009,SEWC099,SEWA094,04/19/2024,1.33,0,1.33,$0.00,0.33,1.00
1010942,HEM SLEEVE,Corrective Maintenance,VC2700,SEWP002,SEWF009,SEWC100,SEWA095,03/09/2024,0.17,0,0.17,$4.98,0.17,0.00
