equipment,date,changed_pcs
1026494,5/11/2023,1
1026494,5/11/2023,1
1026494,5/31/2023,1
1026494,5/31/2023,1
1026494,6/9/2023,1
1026494,6/9/2023,1
1026494,7/21/2023,1
1026494,7/21/2023,1
1026494,2/20/2024,1
1026494,2/26/2024,1
1026494,3/13/2024,0
1026494,4/8/2024,7
1026494,6/6/2024,1
1026500,5/22/2023,1
1026500,5/22/2023,1
1026500,5/22/2023,1
1026500,5/22/2023,1
1026500,7/28/2023,0
1026500,2/21/2024,1
1026503,1/20/2023,1
1026503,1/20/2023,1
1026503,4/20/2023,1
1026503,4/20/2023,1
1026503,6/7/2023,1
1026503,6/7/2023,1
1026503,9/1/2023,0
1026503,9/4/2023,0
1026503,9/4/2023,0
1026503,9/18/2023,1
1026503,9/18/2023,1
1026503,9/28/2023,0
1026503,9/28/2023,0
1026503,10/2/2023,0
1026503,10/2/2023,0
1026503,12/12/2023,3
1026503,12/12/2023,1
1026503,12/12/2023,3
1026503,12/12/2023,1
1026503,2/6/2024,1
1026503,2/6/2024,1
1026503,2/28/2024,0
1026503,3/5/2024,1
1026503,4/12/2024,0
1026503,4/22/2024,1
1026503,4/30/2024,0
1026517,1/16/2023,0
1026517,1/16/2023,0
1026517,2/1/2023,0
1026517,2/1/2023,0
1026517,5/25/2023,1
1026517,5/25/2023,1
1026517,6/1/2023,1
1026517,6/1/2023,1
1026517,6/7/2023,1
1026517,6/7/2023,1
1026517,6/8/2023,2
1026517,6/8/2023,2
1026517,6/22/2023,1
1026517,6/22/2023,1
1026517,7/18/2023,1
1026517,7/18/2023,1
1026517,7/19/2023,0
1026517,7/19/2023,0
1026517,10/11/2023,0
1026517,10/31/2023,0
1026517,11/27/2023,0
1026517,1/17/2024,0
1026517,1/19/2024,1
1026517,2/21/2024,1
1026517,3/5/2024,0
1026525,8/17/2023,4
1026525,8/17/2023,4
1026525,8/31/2023,1
1026525,8/31/2023,1
1026525,8/31/2023,1
1026525,8/31/2023,1
1026530,1/31/2023,1
1026530,1/31/2023,1
1026530,3/7/2023,1
1026530,3/7/2023,1
1026530,4/20/2023,2
1026530,4/20/2023,2
1026530,4/24/2023,2
1026530,4/24/2023,2
1026530,4/25/2023,0
1026530,4/25/2023,0
1026530,4/26/2023,1
1026530,4/26/2023,1
1026530,7/24/2023,1
1026530,7/24/2023,1
1026537,11/16/2023,2
1026537,11/16/2023,2
1026537,12/18/2023,5
1026537,12/18/2023,5
1026537,12/19/2023,1
1026537,12/19/2023,1
1026537,1/12/2024,1
1026537,3/21/2024,0
1026537,5/28/2024,1
1026537,5/29/2024,1
1026537,6/4/2024,1
1026537,6/5/2024,1
1026548,3/1/2023,0
1026548,3/1/2023,0
1026548,3/30/2023,1
1026548,3/30/2023,1
1026548,7/17/2023,0
1026548,7/17/2023,0
1026548,7/26/2023,1
1026548,7/26/2023,1
1026548,8/15/2023,1
1026548,8/15/2023,1
1026548,9/25/2023,3
1026548,9/25/2023,3
1026548,12/12/2023,2
1026548,12/12/2023,2
1026548,1/18/2024,1
1026548,2/19/2024,0
1026548,4/15/2024,0
1026549,3/9/2023,0
1026549,3/9/2023,0
1026549,3/16/2023,0
1026549,3/16/2023,0
1026549,3/16/2023,0
1026549,3/16/2023,0
1026549,3/26/2023,0
1026549,3/27/2023,0
1026549,3/27/2023,0
1026549,3/29/2023,2
1026549,3/29/2023,2
1026549,3/30/2023,0
1026549,3/30/2023,0
1026549,4/20/2023,0
1026549,5/2/2023,0
1026549,5/2/2023,0
1026549,5/4/2023,0
1026549,5/4/2023,0
1026549,5/5/2023,0
1026549,5/11/2023,0
1026549,5/24/2023,0
1026549,5/29/2023,0
1026549,6/2/2023,0
1026549,6/2/2023,0
1026549,6/9/2023,0
1026549,6/16/2023,5
1026549,6/16/2023,5
1026549,6/20/2023,1
1026549,6/20/2023,1
1026549,6/21/2023,0
1026549,6/21/2023,0
1026549,6/21/2023,0
1026549,6/23/2023,0
1026549,6/23/2023,0
1026549,6/28/2023,0
1026549,6/28/2023,0
1026549,7/5/2023,0
1026549,7/5/2023,0
1026549,7/8/2023,1
1026549,7/8/2023,1
1026549,7/19/2023,0
1026549,7/19/2023,0
1026549,7/19/2023,0
1026549,7/19/2023,0
1026549,7/19/2023,0
1026549,7/19/2023,0
1026549,7/28/2023,0
1026549,7/28/2023,0
1026549,8/13/2023,0
1026549,8/13/2023,0
1026549,8/21/2023,0
1026549,8/21/2023,0
1026549,9/3/2023,0
1026549,9/3/2023,0
1026549,9/3/2023,0
1026549,9/3/2023,0
1026549,9/17/2023,1
1026549,9/17/2023,0
1026549,9/17/2023,1
1026549,9/20/2023,0
1026549,10/15/2023,0
1026549,10/15/2023,0
1026549,10/16/2023,0
1026549,10/16/2023,0
1026549,11/26/2023,1
1026549,11/26/2023,1
1026549,12/8/2023,1
1026549,12/8/2023,1
1026549,12/13/2023,4
1026549,12/13/2023,4
1026549,4/8/2024,1
1026549,4/9/2024,0
1026549,4/20/2024,0
1026549,5/27/2024,2
1026549,6/20/2024,0
1026549,6/23/2024,1
1026561,4/26/2023,3
1026561,4/26/2023,3
1026561,4/27/2023,6
1026561,4/27/2023,6
1026561,5/29/2023,1
1026561,5/29/2023,1
1026561,6/5/2023,7
1026561,6/5/2023,7
1026561,6/6/2023,1
1026561,6/6/2023,1
1026561,6/7/2023,1
1026561,6/7/2023,1
1026561,6/8/2023,3
1026561,6/8/2023,3
1026566,7/21/2023,1
1026566,7/21/2023,1
1026566,11/14/2023,2
1026566,11/14/2023,2
1026566,11/23/2023,3
1026566,11/23/2023,3
1026566,1/11/2024,1
